This fits B3 to B10 into the virial expansion since maxPower is set to 8.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876594534882131, 4.774648292756861E-5, 29.179118413281763, 1.1874571910673488, 1.1558785301277748, 8.510683435273858E-4, 1.4991501973213637, -5.213638970822166E-4, 7.780303256293544E-6, 0.0013646519373533088, 7.006598251028813, 0.06875648901040608, 4068.8607887751077, 971.36896092952, 5763.287033904568, 0.7059965545423297
3.0E-4, 0.1031442115343768, 7.161972439135293E-5, 24.7028298395089, 1.3019884450639518, 1.2697574383412162, 0.0013932002791612606, 1.4986099507958317, -7.530065463303081E-4, 1.763280662699092E-5, 0.0021285740188645777, 7.007396759259258, 0.10313473351560913, 4070.2520726768125, 971.7011054948207, 5765.257700606483, 0.7059965545423299
4.0E-4, 0.1375174569415973, 9.549296585513724E-5, 29.287955153862953, 1.4590382135259237, 1.4318446390557968, 0.00203054158672213, 1.4979759649044642, -9.765371141186377E-4, 3.295149711285422E-5, 0.0029741272037279135, 7.008668384773657, 0.13751297802081217, 4072.468348937886, 972.2302024781312, 5768.396917429587, 0.70599655454233
5.0E-4, 0.17188842657917758, 1.1936620731892148E-4, 35.31627338755242, 1.6311131641064174, 1.6338834693961837, 0.002791597129898573, 1.4972193390163178, -0.0011940355932402447, 5.5240168412606234E-5, 0.003930392554726212, 7.009925318930035, 0.1718912225260152, 4074.6598105759767, 972.7533754065789, 5771.5009858899675, 0.7059965545423298
6.0E-4, 0.20629010543567963, 1.4323944878270585E-4, 38.38357361097174, 1.8594889850410354, 1.8582695724905705, 0.003716769431086247, 1.4963011344608839, -0.001406727072591923, 8.572055886345436E-5, 0.005037775944814716, 7.011907551440327, 0.20626946703121826, 4078.1174254344346, 973.5788201506263, 5776.398481261881, 0.7059965545423298
7.0E-4, 0.24064744278129743, 1.6711269024649017E-4, 48.66298309057765, 1.984498180111017, 2.0879866725488196, 0.004624277772013908, 1.4953996367669113, -0.0016154210498813184, 1.250564129548187E-4, 0.006114642408940408, 7.01314066872428, 0.24064771153642134, 4080.26934264019, 974.092552541257, 5779.446537505088, 0.7059965545423299
8.0E-4, 0.2750294459028386, 1.9098593171027449E-4, 62.4850163832206, 2.252166914478538, 2.3159568754527626, 0.0060402557224250725, 1.4939948404957821, -0.0018206928681456847, 1.7363258940211352E-4, 0.007687316001168643, 7.015129372427988, 0.2750259560416244, 4083.7414309757132, 974.9214525734322, 5784.364533652782, 0.7059965545423297
9.0E-4, 0.309393668245469, 2.148591731740588E-4, 74.60687125761362, 2.526220655351048, 2.5477697127048393, 0.007607717539984195, 1.4924403058088083, -0.0020229727110088343, 2.3166515202773774E-4, 0.009399025098965293, 7.01740170781894, 0.30940420054682743, 4087.7111238482003, 975.8691469382518, 5789.987355530515, 0.70599655454233
0.001, 0.3437663945429704, 2.38732414637843E-4, 100.52299746311996, 2.778262719451972, 2.8018508815471965, 0.00960247142720603, 1.490461112375306, -0.0022225944863660013, 2.9966124380070706E-4, 0.011525404669771325, 7.02011981481482, 0.3437824450520305, 4092.4629426287534, 977.0035601096547, 5796.718009880003, 0.7059965545423299
0.0011, 0.37810266287740635, 2.626056561016274E-4, 139.10116366311092, 3.2213812214288104, 3.1043724125872725, 0.012407337122185075, 1.487679329254547, -0.0024198249427019227, 3.785753942166799E-4, 0.014448586670670319, 7.022334248971198, 0.3781606895572336, 4096.336957152055, 977.9284129511445, 5802.2053093552995, 0.70599655454233
