phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.251492839349325,6.328,0.278838479551912,1.38793891344091,,,,,,,,,
0.0012,0.274594936903015,6.328,0.304187432238449,1.35444858199903,,,,,,,,,
0.0013,0.291518001497586,6.328,0.329536384924986,1.44436901378665,,,,,,,,,
0.0014,0.311639972856022,6.328,0.354885337611524,1.4102947301324,,,,,,,,,
0.0015,0.327901400023875,6.328,0.380234290298061,1.44826752898857,,,,,,,,,
0.0016,0.34870976087378,6.328,0.405583242984599,1.48695772066205,,,,,,,,,
0.0017,0.365910697704956,6.328,0.430932195671136,1.54510431146099,,,,,,,,,
0.0018,0.377549663858853,6.328,0.456281148357673,1.59450285576489,,,,,,,,,
0.0019,0.396747772641682,6.328,0.481630101044211,1.64556942668252,,,,,,,,,
0.002,0.410772335892795,6.328,0.506979053730748,1.56591357394755,,,,,,,,,
0.0021,0.4249221371918,6.328,0.532328006417286,1.64381505150249,,,,,,,,,
0.0022,0.438393632845912,6.328,0.557676959103823,1.64144555407179,,,,,,,,,
0.0023,0.450458138260839,6.328,0.58302591179036,1.64776143332675,,,,,,,,,
0.0024,0.45906340372419,6.328,0.608374864476898,1.68919727000233,,,,,,,,,
0.0025,0.481730337241781,6.328,0.633723817163435,1.68243307075267,,,,,,,,,
0.0026,0.49903206055513,6.328,0.659072769849972,1.64310142263255,,,,,,,,,
0.0027,0.537740796971212,6.328,0.68442172253651,1.52356262473496,,,,,,,,,
0.0028,0.63350518415135,6.328,0.709770675223047,0.753563787966914,,,,,,,,,
0.0029,0.719317540711775,6.328,0.735119627909585,0.142640787167315,,,,,,,,,
0.003,0.742180254508552,6.328,0.760468580596122,0.128159750522509,,,,,,,,,
0.0031,0.764767030963098,6.328,0.785817533282659,0.113269439552672,,,,,,,,,
0.0032,0.786352906464613,6.328,0.811166485969197,0.104226958279102,,,,,,,,,
0.0033,0.806893519365308,6.328,0.836515438655734,0.096381966055028,,,,,,,,,
0.0034,0.826517773312932,6.328,0.861864391342271,0.0896269594327392,,,,,,,,,
0.0035,0.844699912392711,6.328,0.887213344028809,0.0846306855750526,,,,,,,,,
0.0036,0.861618922381607,6.328,0.912562296715346,0.0810907607515646,,,,,,,,,
0.0037,0.877042860133627,6.328,0.937911249401883,0.0785373575740562,,,,,,,,,
0.0038,0.891272856738481,6.328,0.963260202088421,0.0760495092803854,,,,,,,,,
0.0039,0.903891425160362,6.328,0.988609154774958,0.0757963775845003,,,,,,,,,
0.004,0.915336573159213,6.328,1.0139581074615,0.0753583759771922,,,,,,,,,
0.0041,0.925597656565977,6.328,1.03930706014803,0.0748961339798431,,,,,,,,,
0.0042,0.934712838020435,6.328,1.06465601283457,0.0750784772598375,,,,,,,,,
0.0043,0.942729795237606,6.328,1.09000496552111,0.0755510463891631,,,,,,,,,
0.0044,0.949618614107043,6.328,1.11535391820765,0.0761365550591073,,,,,,,,,
