Dry Volume Fraction	Chemical Potential	Pressure
0.0121	64.4234255079762	0.206613423477902
0.0122	46.6439066657845	0.155047732828597
0.0123	31.5660461029005	0.110958139111431
0.0124	19.0025913095931	0.0739215519466732
0.0125	8.76628977610100	0.0435014699809017
0.0126	0.669888992723513	0.0192479808880675
0.0127	-5.47386355023987	0.000697761368891454
0.0128	-9.85222036255065	-0.0126259228493219
0.0129	-12.6524339539399	-0.0212132170120975
0.013	-14.0617568341080	-0.0255676773381558
0.0131	-14.2674415128167	-0.0262062710194957
0.0132	-13.4567404997969	-0.0236593762213983
0.0133	-11.8169063047491	-0.0184707820816840
0.0134	-9.53519143740435	-0.0111976887118704
0.0135	-6.79884840758516	-0.00241070719680397
0.0136	-3.79512972487014	0.00730614040655978
0.0137	-0.711287899081754	0.0173554210672210
0.0138	2.26542456010994	0.0271262907811557
0.0139	4.94775514291295	0.0359944945713904
0.014	7.14845133965722	0.0433223664880065
0.0141	8.68026064048980	0.0484588296071004
0.0142	9.35593053589302	0.0507393960329161
0.0143	8.98820851598346	0.0494861668954922
0.0144	7.38984207112153	0.0440078323523725
0.0145	4.37357869142382	0.0335996715871747
0.0146	-0.247834132657837	0.0175435528115795
0.0147	-6.66164891094590	-0.00489206673705285
0.0148	-15.0551181531409	-0.0344521407938604
0.0149	-25.6154943690044	-0.0718950340672862
