rhoSigma^3,		softness
0.9953917050691244, 0.0000931677018633538
1.0175115207373273, 0.0001677018633540351
1.0617511520737328, 0.0003291925465838501
1.0783410138248852, 0.0004906832298136633
1.144700460829493, 0.000987577639751552
1.2110599078341013, 0.0016459627329192539
1.2940092165898616, 0.002478260869565217
1.3658986175115206, 0.0033229813664596266
1.4267281105990781, 0.003993788819875775
1.52073732718894, 0.004987577639751552
1.6036866359447006, 0.005689440993788819
1.7308755760368664, 0.006645962732919253
1.8082949308755762, 0.007111801242236024
1.8691244239631337, 0.007397515527950309
1.902304147465438, 0.00757142857142857
