Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862138
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999965
Reservoir volume fraction: 0.693591296299635
Actual volume fraction: 0.6928574142873971
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.7060239280465961
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0123, 1574.7277268274913, 1766.3941781524115, 12.410425719925287, 1766.3941781524115, 0.0, -0.028473752118282073, 1.5297443216307351, -0.01807524358340244, 0.0, 3.505, 0.5298865182910261, 0.0, 0.05760368263493977, 0.6510100201242679
0.0124, 34.064521832484516, 63.212253095262106, 11.364868267818148, 63.212253095262106, 0.0, -0.034557827881865615, 1.5356698362190968, -0.01636908124655793, 0.0, 3.505, 0.5341945387649368, 0.0, 0.08860632057934245, 0.526323349887552
0.0125, -876.6032648220419, -1098.510018195654, 13.081416418569152, -1098.510018195654, 0.0, -0.026847291008171563, 1.528192599113697, -0.019173578355303367, 0.0, 3.505, 0.5385025592388476, 0.0, 0.04783375103053521, 0.7182581216553857
0.0126, -2455.3631095106316, -2720.437572911254, 10.166078297284463, -2720.437572911254, 0.0, -0.07641255069994214, 1.5774040367565303, -0.005651034832646675, 0.0, 3.505, 0.5428105797127584, 0.0, 1.092603336172198, 0.15068499720582842
0.0127, -2103.1088140597267, -2064.0189345533613, 10.426258943991181, -2064.0189345533613, 0.0, -0.1440822437974027, 1.6451174158754867, -0.00539400634945087, 0.0, 3.505, 0.547118600186669, 0.0, 1.1698933507424032, 0.14600661456886785
0.0128, 1047.2078690299622, 1088.6500681280245, 10.582969243848392, 1088.6500681280245, 0.0, -0.17682859978526394, 1.6778811481325886, -0.0053333723656742655, 0.0, 3.505, 0.5514266206605798, 0.0, 1.1971741302726655, 0.14471129230783528
0.0129, 753.007323190471, 765.8428135904282, 10.341763598772335, 765.8428135904282, 0.0, -0.0940817511571481, 1.595110317453499, -0.004693112672736297, 0.0, 3.505, 0.5557346411344906, 0.0, 1.3940016625096918, 0.13445470929835754
0.013, 155.5802503605364, 187.83266474854932, 10.79021192551145, 187.83266474854932, 0.0, -0.14087514848421598, 1.6419746988032689, -0.0045603515248233886, 0.0, 3.505, 0.5600426616084013, 0.0, 1.4470366922972118, 0.13230789891657882
0.0131, 593.8078155664057, 609.7622278920057, 10.55420264919332, 609.7622278920057, 0.0, -0.0866533413894419, 1.5877204027164473, -0.004135901303234224, 0.0, 3.505, 0.5643506820823121, 0.0, 1.6007478356850324, 0.12611693202927773
0.0132, -84.00209042320006, -56.22259009995152, 11.079183830411578, -56.22259009995152, 0.0, -0.11252291375601778, 1.6136688089661781, -0.004062310354956099, 0.0, 3.505, 0.5686587025562229, 0.0, 1.6376671338829587, 0.12500371524322826
0.0133, 233.77651765961195, 250.03093387440333, 11.161210699276229, 250.03093387440333, 0.0, -0.0906641457657133, 1.591820471318372, -0.0038189322653809426, 0.0, 3.505, 0.5729667230301336, 0.0, 1.7376431917174808, 0.12166005429098428
0.0134, -218.77792543989963, -200.95105207092277, 11.375143663357687, -200.95105207092277, 0.0, -0.10136090724671667, 1.60255199384815, -0.003532458501097839, 0.0, 3.505, 0.5772747435040444, 0.0, 1.859247375418606, 0.1179082258721914
0.0135, -134.89830630578226, -115.59088820301818, 11.309872789535206, -115.59088820301818, 0.0, -0.10111002224765835, 1.6022901887448548, -0.00320997666966384, 0.0, 3.505, 0.5815827639779552, 0.0, 2.0027058977008654, 0.11388864561417758
0.0136, -384.74090806121376, -362.1895764551066, 11.650778237743413, -362.1895764551066, 0.0, -0.10780182692570363, 1.6090289722631022, -0.003003948764316981, 0.0, 3.505, 0.5858907844518659, 0.0, 2.102336348452237, 0.1114310690395081
0.0137, 420.078111095202, 445.9472718666887, 11.951226259886479, 445.9472718666887, 0.0, -0.11948004744594033, 1.6207496096174956, -0.002745578172109562, 0.0, 3.505, 0.5901988049257767, 0.0, 2.2297797387457305, 0.10846433729526689
0.0138, 112.97400293020964, 127.75641977037971, 12.254970933393519, 127.75641977037971, 0.0, -0.0877445745660513, 1.589060743630932, -0.0025349573713289745, 0.0, 3.505, 0.5945068253996875, 0.0, 2.3394785391474855, 0.10614786330107026
0.0139, -1028.851423631986, -1010.335125287186, 12.387030965188046, -1010.335125287186, 0.0, -0.11408593614377399, 1.615423819687994, -0.002216464597067628, 0.0, 3.505, 0.5988148458735982, 0.0, 2.5083668135052823, 0.10275915020486188
0.014, -457.02792675881267, -430.82077415685103, 12.465738646071069, -430.82077415685103, 0.0, -0.13686861149950058, 1.638227181275517, -0.001809412810005459, 0.0, 3.505, 0.603122866347509, 0.0, 2.736208383339489, 0.09862322223861172
0.0141, 310.922751264624, 340.7983032382646, 12.70927029139557, 340.7983032382646, 0.0, -0.13590741224618572, 1.6372971285824665, -0.0015383468372217356, 0.0, 3.505, 0.6074308868214197, 0.0, 2.8993285350937437, 0.09603629929891863
0.0142, 23.358616811144284, 46.45139069258955, 13.291597313862834, 46.45139069258955, 0.0, -0.12202314366445155, 1.6235090116671027, -0.0013299211520685092, 0.0, 3.505, 0.6117389072953304, 0.0, 3.0308785075844775, 0.09415056803538911
0.0143, -152.2921567226628, -123.85450882305173, 13.250291879889723, -123.85450882305173, 0.0, -0.1347921204474008, 1.6362601881977563, -9.410410286744375E-4, 0.0, 3.505, 0.6160469277692412, 0.0, 3.2837313365771466, 0.09066492311145871
0.0144, -548.551984434761, -523.5550109797414, 13.962562013377246, -523.5550109797414, 0.0, -0.12929455852541277, 1.630870410357365, -8.156757532141155E-4, 0.0, 3.505, 0.620354948243152, 0.0, 3.3711152040912222, 0.08969022786256774
0.0145, -591.8553662040948, -562.8101492843982, 14.046189550156807, -562.8101492843982, 0.0, -0.160983548407099, 1.662585571014505, -3.501296675937665E-4, 0.0, 3.505, 0.6246629687170627, 0.0, 3.7016242198022624, 0.08579018358332687
0.0146, 96.70020236690726, 129.01637190608307, 14.113412089632021, 129.01637190608307, 0.0, -0.15755357066346645, 1.6591460950353827, 1.315065492626696E-5, 0.0, 3.505, 0.6289709891909735, 0.0, 3.978187555957722, 0.08294421192086993
0.0147, 98.22074925422616, 128.7911611248347, 14.600202861451999, 128.7911611248347, 0.0, -0.15636645384569503, 1.6580297406507518, 2.6533513245783724E-4, 0.0, 3.505, 0.6332790096648843, 0.0, 4.1791763744743795, 0.0811094622370679
0.0148, -577.0929337320689, -548.3474358098636, 14.810766400503399, -548.3474358098636, 0.0, -0.15286387533606655, 1.6545502755893609, 6.845657544596076E-4, 0.0, 3.505, 0.637587030138795, 0.0, 4.532486672917503, 0.07806027274475436
0.0149, -698.4493648155883, -659.9007778580841, 15.3287369026601, -659.9007778580841, 0.0, -0.18392061175375374, 1.685702516077973, 9.678176403265567E-4, 0.0, 3.505, 0.6418950506127058, 0.0, 4.782818382117044, 0.076160754607017
0.015, -95.19158720169187, -58.86957233140314, 15.787508615676686, -58.86957233140314, 0.0, -0.18621237600900517, 1.6880641638572156, 0.0013257301898955546, 0.0, 3.505, 0.6462030710866166, 0.0, 5.11623767118417, 0.07380166468112197
0.0151, -311.1337810615254, -273.43616698787554, 16.042867668259298, -273.43616698787554, 0.0, -0.18846567524692748, 1.6903372727647028, 0.0017340772600794305, 0.0, 3.505, 0.6505110915605273, 0.0, 5.520912603171736, 0.07120294774538609
0.0152, -339.4096636414744, -298.0769997351056, 16.56173277709984, -298.0769997351056, 0.0, -0.20106791977464916, 1.7030284656720969, 0.002045003723078315, 0.0, 3.505, 0.6548191120344381, 0.0, 5.842677001142798, 0.0693670167744424
0.0153, -128.60925667429706, -89.80143324899521, 17.235144176810348, -89.80143324899521, 0.0, -0.20467129295743694, 1.7067460367546934, 0.00243312639559842, 0.0, 3.505, 0.6591271325083489, 0.0, 6.269131378206252, 0.0671126753737565
0.0154, -403.78155489652886, -365.4558026616401, 17.613411653503565, -365.4558026616401, 0.0, -0.20720855945277578, 1.7093214542650765, 0.002899313956250439, 0.0, 3.505, 0.6634351529822596, 0.0, 6.819478986019158, 0.06448752902722192
0.0155, -572.4837972325338, -528.4890815595445, 18.017253092837606, -528.4890815595445, 0.0, -0.22395044207477116, 1.7261254941463036, 0.0033318802014658056, 0.0, 3.505, 0.6677431734561703, 0.0, 7.3638948004718765, 0.06219200221223351
0.0156, 213.24663551694363, 259.53368994655943, 18.598768526076228, 259.53368994655943, 0.0, -0.2345426473036486, 1.73679879183608, 0.0037313961416118157, 0.0, 3.505, 0.6720511939300811, 0.0, 7.895572663750541, 0.06019043415244425
0.0157, -424.11718762592534, -384.75796827200656, 19.275474323032782, -384.75796827200656, 0.0, -0.21376866523269997, 1.716135741858043, 0.004176631576160114, 0.0, 3.505, 0.6763592144039919, 0.0, 8.52941514373281, 0.058034291235423724
0.0158, -976.456298338297, -925.9803709247178, 19.84612917139749, -925.9803709247178, 0.0, -0.25479275136191826, 1.7572167503569691, 0.004628505054443652, 0.0, 3.505, 0.6806672348779027, 0.0, 9.216286213078808, 0.055948117648700696
0.0159, -8.084977218137865, 43.66874229095671, 20.5767162847494, 43.66874229095671, 0.0, -0.2603910192108263, 1.7629307862162982, 0.005050396942013453, 0.0, 3.505, 0.6849752553518135, 0.0, 9.89483487804928, 0.05410937608921673
