Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.504339062500001
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935907656145422
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0141, 9.048082128454375, -10.003817655984134, 1.0, -10.959742843299573, 0.9559251873154383, -0.001991959934402457, 1.5019919599344025, 0.002181532561927779, 0.0016571028766932713, 3.5047606250000007, 0.6074304220599411, 0.0, 6.202624151672519, 0.06565932268876216
0.0142, 11.884047168183532, -7.023947398708433, 1.0, -7.6032286102536775, 0.5792812115452446, -0.0018356005429986878, 1.5018356005429987, 0.00267323391595636, 0.0017027181423785163, 3.5048046875000005, 0.6117384392376711, 0.0, 6.8311657260512035, 0.06271332074941867
0.0143, 19.43079294154186, 4.97542357456711, 1.0, 6.285550918247916, -1.3101273436808056, -0.001424538479176362, 1.5014245384791765, 0.003147827512399954, 0.0017087434628378806, 3.504942499999999, 0.6160464564154012, 0.0, 7.4873774162314515, 0.060042427691175904
0.0144, 12.12872475543464, -5.386394504507062, 1.0, -5.0391493412024415, -0.34724516330462074, -9.078485195462389E-4, 1.5009078485195462, 0.003427376137355679, 0.0016640626795002805, 3.5047903125, 0.6203544735931313, 0.0, 7.882322113338101, 0.05865497246960435
0.0145, 10.384558490793243, -9.059185361333732, 1.0, -10.37120643388821, 1.3120210725544774, -8.454345297078231E-4, 1.5008454345297078, 0.004044324308687171, 0.001715275709236202, 3.504784375, 0.6246624907708613, 0.0, 8.867489038433789, 0.05542853894737768
0.0146, 24.04225790818711, 9.361452300458264, 1.0, 9.431682049114174, -0.07022974865590996, -4.1202237485524163E-4, 1.5004120223748552, 0.00442319147073438, 0.0017503660465414228, 3.504752500000001, 0.6289705079485914, 0.0, 9.502358661162994, 0.05366770243334345
0.0147, 14.400949949844906, -6.03569567500271, 1.0, -4.979029927756429, -1.0566657472462813, 3.024987270456342E-4, 1.4996975012729543, 0.004811516949103517, 0.001735900102816905, 3.5048625, 0.6332785251263214, 0.0, 10.191982320516315, 0.05193827735793638
0.0148, 14.350394831976384, -12.52594422265726, 1.0, -12.181117732689865, -0.344826489967395, 2.755723360657982E-4, 1.499724427663934, 0.005460316608852602, 0.0017235316619540811, 3.5047946875000004, 0.6375865423040515, 0.0, 11.48966218260126, 0.049028059262207484
0.0149, 27.621607459315488, 5.72948904171961, 1.0, 5.728724290313959, 7.647514056510753E-4, 9.876796088944635E-4, 1.4990123203911054, 0.006164831724725544, 0.0017427268191054883, 3.504709375, 0.6418945594817815, 0.0, 13.0718789938955, 0.046068510824840384
0.015, 17.251216069631795, -5.049139076038056, 1.0, -4.962432814770605, -0.08670626126745053, 0.0015944069450540069, 1.498405593054946, 0.006575080241835796, 0.0017469604824407329, 3.5046725, 0.6462025766595116, 0.0, 14.030132604681006, 0.044566715214041305
0.0151, 13.655082273048098, -11.698716086669076, 1.0, -12.648675242210222, 0.9499591555411462, 0.0018113645024429351, 1.498188635497557, 0.00729600422825741, 0.0017618797065147118, 3.5047915624999986, 0.6505105938372416, 0.0, 15.96376995587745, 0.041873154463937946
0.0152, 17.846692753846238, -1.6222962597790929, 1.0, -1.3240618821626884, -0.29823437761640453, 0.0022463890976786426, 1.4977536109023213, 0.007858279177146049, 0.0018156538460958407, 3.5048334375000003, 0.6548186110149717, 0.0, 17.59560852720999, 0.03997208579710163
0.0153, 19.151913662864153, -10.34478582450057, 1.0, -12.535318989072668, 2.1905331645720962, 0.002663481313328017, 1.497336518686672, 0.008299420638753854, 0.0017715302460809077, 3.5046775, 0.6591266281927018, 0.0, 18.93252807800401, 0.03861925864920052
0.0154, 7.353633533640478, -28.254642186660888, 1.0, -27.733029366483137, -0.5216128201777515, 0.003160825616412854, 1.4968391743835872, 0.00934031524512182, 0.0019434013585590598, 3.5045234375, 0.6634346453704318, 0.0, 22.769567439821703, 0.035291810934709684
0.0155, 6.524843082497847, -21.02362084854387, 1.0, -17.887270118305697, -3.136350730238176, 0.003014591451297578, 1.4969854085487024, 0.010079843679574534, 0.001771864047150075, 3.5046721874999998, 0.667742662548162, 0.0, 25.830078924170117, 0.0332066802216277
0.0156, 17.41444465783289, -9.093080002345152, 1.0, -12.216810093692668, 3.123730091347517, 0.0034723639252564015, 1.4965276360747437, 0.010746822052767037, 0.001816514403861586, 3.5047521875000007, 0.6720506797258919, 0.0, 28.865026568365078, 0.03147989770833627
0.0157, -7.850135893719079, -40.57406065241764, 1.0, -41.11717620513542, 0.5431155527177818, 0.0038460699358458844, 1.4961539300641542, 0.011438747036899862, 0.0019442998188302853, 3.50455125, 0.676358696903622, 0.0, 32.358801101847085, 0.02979532315037504
0.0158, 8.472399571354567, -25.000409666005886, 1.0, -22.962870190082693, -2.037539475923194, 0.00309754754582785, 1.496902452454172, 0.01240599636886859, 0.0018672144118854702, 3.5047137500000014, 0.680666714081352, 0.0, 38.08899498354859, 0.027520967621439765
0.0159, -49.943968046659464, -88.19319290532823, 1.0, -89.43119489350418, 1.2380019881759505, 0.004250597217335105, 1.495749402782665, 0.013154784417803694, 0.0018706501004957762, 3.5044743750000005, 0.6849747312590821, 0.0, 43.00459190040763, 0.02595490159070947
