phi0,	phi, alpha, zeta, lindemannParameter
0.0101,0.2633089980008751,6.328000000000001,2.560244221340278,0.7108473045699142
0.0102,0.2313033659479752,6.328000000000001,2.5855931740268154,0.8500184582164937
0.0103,0.199881351340091,6.328000000000001,2.6109421267133524,0.7657247322199565
0.0104,0.1741688823234587,6.328000000000001,2.6362910793998897,0.6891253981971143
0.0105,0.1411910657049243,6.328000000000001,2.661640032086427,0.7359815402150501
0.0106,0.1052272464623713,6.328000000000001,2.6869889847729644,0.8013829504366423
0.0107,0.0785936587588992,6.328000000000001,2.7123379374595014,0.749367098103753
0.0108,0.0430073957549532,6.328000000000001,2.7376868901460387,0.7337167190678948
0.0109,0.0112371111260592,6.328000000000001,2.763035842832576,0.8060270606474376
0.011,-0.0286154297878214,6.328000000000001,2.788384795519113,0.7738309776160806
0.0111,-0.0624823456455442,6.328000000000001,2.813733748205651,0.8187753087975
0.0112,-0.0972552154444359,6.328000000000001,2.839082700892188,0.7505252175503156
0.0113,-0.1368641930384457,6.328000000000001,2.864431653578725,0.7976928837870649
0.0114,-0.1726492283262039,6.328000000000001,2.8897806062652625,0.7944552927408179
0.0115,-0.2084196222619606,6.328000000000001,2.9151295589518,0.8130874640723041
0.0116,-0.2515105404263292,6.328000000000001,2.9404785116383367,0.7937472304951674
0.0117,-0.2857440458189887,6.328000000000001,2.965827464324874,0.7602467757396028
0.0118,-0.3285564188930932,6.328000000000001,2.9911764170114115,0.7679133306771811
0.0119,-0.3675302031662434,6.328000000000001,3.016525369697949,0.7993292055845387
0.012,-0.4084459291628644,6.328000000000001,3.0418743223844857,0.7800461442418996
0.0121,-0.4487012804027381,6.328000000000001,3.067223275071023,0.788428968394685
0.0122,-0.4895809411222312,6.328000000000001,3.0925722277575605,0.8191980889930915
0.0123,-0.5358898682280947,6.328000000000001,3.117921180444098,0.799120036704179
0.0124,-0.576003310801584,6.328000000000001,3.1432701331306347,0.7703649358252211
0.0125,-0.6195716086109043,6.328000000000001,3.168619085817172,0.7787039149629039
0.0126,-0.6639074856435814,6.328000000000001,3.193968038503709,0.8116558964483447
0.0127,-0.71177083782581,6.328000000000001,3.219316991190247,0.8192987323388295
0.0128,-0.7500399173780208,6.328000000000001,3.244665943876784,0.8014086160153231
0.0129,-0.8010740408012967,6.328000000000001,3.270014896563321,0.8797402225693023
0.013,-0.8492410781047507,6.328000000000001,3.2953638492498585,0.8342128876353354
0.0131,-0.8973729966205333,6.328000000000001,3.320712801936396,0.8094723330101958
0.0132,-0.94557168692168,6.328000000000001,3.3460617546229328,0.7988244711082393
0.0133,-0.9919328849502668,6.328000000000001,3.37141070730947,0.8662270497614417
0.0134,-1.040532150613371,6.328000000000001,3.3967596599960075,0.8036616958853628
0.0135,-1.0969135015034723,6.328000000000001,3.422108612682545,0.8026920441683718
0.0136,-1.1442956902889898,6.328000000000001,3.4474575653690818,0.8977940555267709
0.0137,-1.2017382295070496,6.328000000000001,3.472806518055619,0.8633472167261685
0.0138,-1.244535182574639,6.328000000000001,3.4981554707421565,0.8870022770882174
0.0139,-1.3034943870878082,6.328000000000001,3.523504423428694,0.8680863927626813
0.014,-1.353856783400279,6.328000000000001,3.5488533761152308,0.8839041150178052
0.0141,-1.4077032241225949,6.328000000000001,3.574202328801768,0.8077841980298704
0.0142,-1.46318894253427,6.328000000000001,3.599551281488305,0.8805821130399687
0.0143,-1.5186605535809132,6.328000000000001,3.624900234174843,0.8463371806974245
0.0144,-1.5743682785203077,6.328000000000001,3.65024918686138,0.8863546451511776
0.0145,-1.632811456477647,6.328000000000001,3.675598139547917,0.8781479735332189
0.0146,-1.6843197464715658,6.328000000000001,3.7009470922344554,0.8264458960663402
0.0147,-1.7471526096691383,6.328000000000001,3.726296044920992,0.824731682172975
0.0148,-1.808542640786532,6.328000000000001,3.751644997607529,0.9029088951880088
0.0149,-1.8645997083232912,6.328000000000001,3.776993950294066,0.7992577153013997
0.015,-1.9214937146377744,6.328000000000001,3.802342902980604,0.831273549835174
0.0151,-1.9820557640188248,6.328000000000001,3.827691855667141,0.885001320607506
0.0152,-2.042592923122829,6.328000000000001,3.853040808353678,0.8366654864912786
0.0153,-2.10307691909458,6.328000000000001,3.878389761040215,0.8715706367717461
0.0154,-2.166268637261587,6.328000000000001,3.903738713726753,0.8289583242523932
0.0155,-2.227962697770275,6.328000000000001,3.92908766641329,0.8093075038348752
0.0156,-2.291241152257045,6.328000000000001,3.9544366190998272,0.8146969879028472
0.0157,-2.3546577341438595,6.328000000000001,3.9797855717863646,0.8351994036697651
0.0158,-2.4195798198527654,6.328000000000001,4.005134524472902,0.8342991390905702
0.0159,-2.4856282113621275,6.328000000000001,4.030483477159439,0.7824638939256329
0.016,-2.550199663056121,6.328000000000001,4.055832429845976,0.8119780714458243
0.0161,-2.618811707072183,6.328000000000001,4.081181382532514,0.8177629849001401
0.0162,-2.688396529101999,6.328000000000001,4.106530335219051,0.7935399542076597
0.0163,-2.7486892552821405,6.328000000000001,4.131879287905588,0.8043458338498823
0.0164,-2.8169454070917577,6.328000000000001,4.157228240592126,0.7999582540942565
0.0165,-2.883139883772338,6.328000000000001,4.182577193278663,0.8423953114697034
0.0166,-2.955271691092367,6.328000000000001,4.2079261459652,0.7507548644340021
0.0167,-3.0249639429441806,6.328000000000001,4.233275098651737,0.786110784281422
0.0168,-3.0946527546250224,6.328000000000001,4.258624051338274,0.8144158732723437
0.0169,-3.162874323663683,6.328000000000001,4.283973004024812,0.8455741065873472
0.017,-3.239597494872996,6.328000000000001,4.309321956711349,0.8507543525846666
0.0171,-3.308086988390936,6.328000000000001,4.334670909397886,0.7779909717072027
0.0172,-3.3857193319690144,6.328000000000001,4.360019862084424,0.7644387881883307
0.0173,-3.458477400624507,6.328000000000001,4.385368814770961,0.7931848587504207
0.0174,-3.5273392535686456,6.328000000000001,4.410717767457498,0.7638989591455891
0.0175,-3.605632801327657,6.328000000000001,4.436066720144035,0.7502347822085962
0.0176,-3.678186779274096,6.328000000000001,4.461415672830572,0.675711415955809
0.0177,-3.752408510276804,6.328000000000001,4.48676462551711,0.7092017458720468
0.0178,-3.826830809346209,6.328000000000001,4.512113578203647,0.6829389555274801
0.0179,-3.901939379103886,6.328000000000001,4.537462530890184,0.676838860315875
0.018,-3.9821833753224096,6.328000000000001,4.562811483576722,0.7254034737117704
0.0181,-4.062839775027894,6.328000000000001,4.588160436263259,0.6837029963223124
0.0182,-4.140200894437853,6.328000000000001,4.6135093889497965,0.699890628691601
0.0183,-4.215471154727164,6.328000000000001,4.638858341636333,0.625802553409104
0.0184,-4.296509436301097,6.328000000000001,4.66420729432287,0.5560554731196846
0.0185,-4.381577435045506,6.328000000000001,4.689556247009408,0.5692831948782513
0.0186,-4.431188846229127,6.328000000000001,4.714905199695945,0.2832452207893472
0.0187,-4.537039405191269,6.328000000000001,4.740254152382482,0.516105334403329
0.0188,-4.588199735610655,6.328000000000001,4.76560310506902,0.1428906654281493
0.0189,-4.67059316849558,6.328000000000001,4.790952057755557,0.1418657213047116
0.019,-4.75257691797058,6.328000000000001,4.816301010442095,0.1376355561420569
0.0191,-4.836463566439182,6.328000000000001,4.841649963128631,0.1365315162722895
0.0192,-4.920500098327128,6.328000000000001,4.866998915815168,0.1333004326641773
0.0193,-5.005622609737533,6.328000000000001,4.892347868501706,0.1322662299216339
0.0194,-5.092225185737296,6.328000000000001,4.917696821188243,0.1322166935453751
0.0195,-5.178374460456863,6.328000000000001,4.94304577387478,0.1294135173793077
0.0196,-5.266267151433852,6.328000000000001,4.968394726561318,0.1290046360134558
0.0197,-5.355057594562296,6.328000000000001,4.993743679247855,0.1292109101551685
0.0198,-5.444177505272887,6.328000000000001,5.0190926319343925,0.1283196509630439
0.0199,-5.534170005082992,6.328000000000001,5.044441584620929,0.1280480769174145
0.02,-5.625186857762563,6.328000000000001,5.069790537307466,0.1282879547947419
