#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 11.025869870418123
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 0.1
#x-link fraction: 3.0E-5
#Reservoir swelling ratio: 7.005318522453306
#Mean swelling ratio: 6.7324221875000045
#Dry volume fraction: 0.10000000000000005
#Reservoir volume fraction: 34.378241697138236
#Actual volume fraction: -163.84344527443326
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 73.62055654700366
#The coupling constant increment - dlambda: 0.0
#phi,         <alpha>,      		zeta, 	 	 		lindemannParameter
0.2771250475000005, 6.7591475000000125, 14.095079095826671, 1.0991323222808018
0.2845390406249995, 6.774739062499989, 14.438861512798052, 1.5685408086213477
0.28696325468750006, 6.673564062500001, 14.782643929769435, 0.7486615485078583
0.2882297275000005, 6.55067562500001, 15.126426346740818, 0.4388929036253918
0.2979579375000001, 6.621287500000001, 15.4702087637122, 0.9718968559128727
0.31070264437499945, 6.754405312499987, 15.813991180683583, 1.787564546963991
0.30831925093749935, 6.559984062499986, 16.157773597654966, 0.3657837714850875
0.3242610600000005, 6.755438750000009, 16.50155601462635, 1.8176075904098798
0.32157514812500027, 6.562758125000004, 16.84533843159773, 0.2886665954336952
0.3354988125000002, 6.709976250000002, 17.189120848569114, 2.061531860467057
0.3397929825000005, 6.662607500000008, 17.532903265540494, 1.1004538632142298
0.3494801862500006, 6.720772812500011, 17.876685682511877, 1.4132824651415181
0.34867765874999995, 6.578823749999998, 18.22046809948326, 0.42310242645167234
0.35831377687500027, 6.635440312500004, 18.564250516454642, 0.7739203280420486
0.3680834093749999, 6.692425624999996, 18.908032933426025, 1.2852321479412678
0.3679046175000001, 6.5697253125, 19.251815350397408, 0.3318756172453638
0.3823356225000003, 6.707642500000004, 19.59559776736879, 2.2939899806628774
0.3887426437500005, 6.702459375000007, 19.939380184340173, 2.723086902891711
0.39515126468749984, 6.697479062499995, 20.283162601311556, 2.172184941026643
0.4016151562500001, 6.6935859375, 20.62694501828294, 2.0972897324940307
0.4055157046875002, 6.647798437500001, 20.97072743525432, 1.0334588277569348
0.41552717750000007, 6.7020512499999985, 21.314509852225704, 2.296428280281963
0.4174063621875003, 6.6254978125000035, 21.658292269197084, 0.8121683635698155
0.4185994400000001, 6.54061625, 22.002074686168466, 0.09310939141722448
0.4302217156249998, 6.618795624999995, 22.34585710313985, 0.6973742016590887
0.4322185725000001, 6.54876625, 22.689639520111232, 0.08519956246260725
0.44466855218749995, 6.636844062499997, 23.03342193708261, 0.4600526142496141
0.4528224125000001, 6.659153125, 23.377204354053994, 1.4797022543615745
0.45280689374999994, 6.562418749999997, 23.720986771025377, 0.09163565786721246
0.46316569687500025, 6.616652812500002, 24.06476918799676, 0.479491969633226
0.47278243250000024, 6.6589075000000015, 24.408551604968142, 2.8637765008039064
0.48021997500000047, 6.669721875000004, 24.752334021939525, 3.224727292921489
0.4868314565625009, 6.66892406250001, 25.096116438910908, 2.640765704033924
0.4916714012500006, 6.644208125000006, 25.43989885588229, 1.9271618912469188
0.4935688125, 6.580917499999998, 25.783681272853674, 0.04138427313105742
0.506186465770554, 6.660348233823077, 26.127463689825056, 2.2292311961103586
0.5124255675000003, 6.654877500000002, 26.47124610679644, 2.5553557862883083
0.5199776643749997, 6.666380312499993, 26.815028523767822, 2.8136900671843232
0.5222807512500002, 6.61114875, 27.1588109407392, 0.08734975327117676
0.5286830500000002, 6.608538125, 27.502593357710584, 0.0628038228847871
0.535463510625, 6.610660624999998, 27.846375774681967, 0.03924933884060821
0.542471896875, 6.615510937499997, 28.19015819165335, 0.03683485560948194
0.5554109443750008, 6.691698125000007, 28.533940608624732, 3.2119216813885854
0.5579394712500002, 6.6421365625, 28.877723025596115, 0.09564875848991967
0.5640908390625001, 6.636362812499999, 29.221505442567498, 0.04876754965014264
0.5718396387500015, 6.649298125000015, 29.56528785953888, 2.065265327708802
0.585408210000001, 6.728830000000008, 29.909070276510263, 0.4496482477599323
0.5963602975000003, 6.776821562500001, 30.252852693481646, 0.3603777949776947
0.5929415015624999, 6.662264062499997, 30.59663511045303, 0.06257029318232134
0.6031449843750003, 6.7016109375, 30.94041752742441, 0.19199544804842308
0.6074108950000003, 6.674845, 31.284199944395795, 0.04134438621969528
0.6158454412500004, 6.693972187500002, 31.627982361367174, 0.08958601076586775
0.6216256593750005, 6.684146875000002, 31.971764778338557, 0.03180719329815672
0.6292840575000007, 6.694511250000004, 32.31554719530994, 0.038362955315401695
0.6363020140625, 6.697915937499997, 32.659329612281326, 0.030076809389915707
0.6434779500000004, 6.702895312500001, 33.003112029252705, 0.023005793412823012
0.6513011953125, 6.714445312499997, 33.34689444622409, 0.03879902731655184
0.6583100999999997, 6.717449999999993, 33.69067686319547, 0.0342563018160419
