#phi0, phi, alpha, zeta, lindemannParameter, xlink, kT/E_Before_Conversion, kT/E
0.00222, 0.736832485616036, 6.99362373148149, 0.7378048549462946, 0.14894459735457988, 3.175E-5, 0.0053993815465464, 5.3993815465464
0.00229, 0.736147751279822, 6.91618609259259, 0.7370899404656701, 0.14430389743119493, 3.35E-5, 0.0051175929477539, 5.1175929477539
0.00233, 0.726646909906991, 6.840407546296294, 0.7275211702633522, 0.1438989988484406, 3.525E-5, 0.0048633603146467, 4.8633603146467
0.0024, 0.727134146989735, 6.773518398148142, 0.7280264661504943, 0.14241108835045263, 3.7000000000000005E-5, 0.0046348147529132, 4.6348147529132
0.00244, 0.719216704128477, 6.70814362037037, 0.7200362041474514, 0.14726372995459835, 3.875000000000001E-5, 0.004424160284949, 4.424160284949
0.00247, 0.709150613883069, 6.64526954629629, 0.7099373611168666, 0.1489211724890799, 4.050000000000001E-5, 0.0042330490922817, 4.2330490922817
0.00254, 0.711117522330361, 6.588410296296295, 0.7118694502897873, 0.14629497078647424, 4.225000000000001E-5, 0.0040590297470378, 4.0590297470378
0.0026, 0.710523215412685, 6.5333229907407375, 0.7112629109296468, 0.14179356390328962, 4.400000000000001E-5, 0.0038961591096322, 3.8961591096322
0.00262, 0.699562536288855, 6.479718805555556, 0.7002593821007275, 0.1474040697897636, 4.5750000000000014E-5, 0.0037471589295779, 3.7471589295779
0.00267, 0.697190226983324, 6.429628666666673, 0.6978297327799606, 0.14510881563082267, 4.7500000000000016E-5, 0.0036090230901179, 3.6090230901179
0.00271, 0.692516195366535, 6.382240037037038, 0.69317288482623, 0.14882170414318524, 4.925000000000002E-5, 0.0034809091230784, 3.4809091230784
0.00276, 0.69077235545017, 6.336879000000002, 0.6914214922388386, 0.1486655567734747, 5.100000000000002E-5, 0.0033613458048184, 3.3613458048184
0.00279, 0.68443815095517, 6.2926649074074055, 0.6850232787427791, 0.14866543289543482, 5.275000000000002E-5, 0.0032498679043929, 3.2498679043929
0.00283, 0.680903930187751, 6.250472574074077, 0.6814619948543046, 0.14791837723293066, 5.4500000000000024E-5, 0.0031455285067343, 3.1455285067343
0.00288, 0.679978078005481, 6.2102339444444405, 0.6805635147212662, 0.14643946893103135, 5.6250000000000026E-5, 0.0030478162230629, 3.0478162230629
0.00292, 0.676973467822194, 6.171699981481482, 0.6775352744643248, 0.14984997702869618, 5.800000000000003E-5, 0.0029556711142861, 2.9556711142861
0.00297, 0.676503392546012, 6.1338332870370404, 0.6770395494318736, 0.14287047464414548, 5.975000000000003E-5, 0.0028691028350255, 2.8691028350255
0.00303, 0.678402962642796, 6.098852759259258, 0.6789406526229551, 0.14473885667642705, 6.150000000000003E-5, 0.0027876355105321, 2.7876355105321
0.00307, 0.675965332779271, 6.064096907407409, 0.6765032635024525, 0.14791582359394229, 6.325000000000003E-5, 0.0027104479139759, 2.7104479139759
0.00309, 0.669388138754615, 6.029756907407409, 0.6699313829563797, 0.14593577723537327, 6.500000000000003E-5, 0.0026373814838739, 2.6373814838739
0.00312, 0.665320450017745, 5.997373361111111, 0.6658185917742881, 0.14906286437932054, 6.675000000000004E-5, 0.0025688221094528, 2.5688221094528
0.00319, 0.669846813683381, 5.966896333333333, 0.670346472715479, 0.1478006653814683, 6.850000000000004E-5, 0.0025026465964086, 2.5026465964086
0.0032, 0.661955574091789, 5.9356667962962995, 0.6624224577767577, 0.14887945858581483, 7.025000000000004E-5, 0.0024402672902334, 2.4402672902334
0.00327, 0.666578335146733, 5.906796249999999, 0.6670690689577273, 0.14736581415608005, 7.200000000000004E-5, 0.002380962212814, 2.380962212814
0.00331, 0.665163318332564, 5.878299620370371, 0.6656440674567052, 0.14773399470595885, 7.375000000000004E-5, 0.0023245298345175, 2.3245298345175
0.00332, 0.65794882106764, 5.849460546296298, 0.6583997797830359, 0.14644944269951335, 7.550000000000005E-5, 0.0022707385702607, 2.2707385702607
0.00335, 0.654910983921378, 5.822250305555556, 0.6553494570688105, 0.14699084106053292, 7.725000000000005E-5, 0.0022193369527499, 2.2193369527499
0.0034, 0.655899238578798, 5.796410694444446, 0.6563212022788073, 0.14958840102999113, 7.900000000000005E-5, 0.0021699962460626, 2.1699962460626
0.00343, 0.653127418033648, 5.770988074074073, 0.6535352224557337, 0.14861162802589303, 8.075000000000005E-5, 0.0021230245916775, 2.1230245916775
0.00347, 0.652361882542665, 5.745407250000002, 0.6527745213374682, 0.1439119464879495, 8.250000000000005E-5, 0.0020779221860335, 2.0779221860335
0.0035, 0.64982174860468, 5.721308268518523, 0.6502460047082966, 0.1495157685891608, 8.425000000000006E-5, 0.0020347672479353, 2.0347672479353
0.00355, 0.651090323675853, 5.69797044444444, 0.6515169871074715, 0.1496888109740114, 8.600000000000006E-5, 0.0019933739490911, 1.9933739490911
0.00357, 0.646976841619103, 5.674504027777775, 0.6473818598421033, 0.14751528304433265, 8.775000000000006E-5, 0.0019536089334125, 1.9536089334125
0.0036, 0.644815297571458, 5.651800657407406, 0.6451990028451542, 0.14909289311655638, 8.950000000000006E-5, 0.0019154322667834, 1.9154322667834
0.00362, 0.640999026114786, 5.629764564814818, 0.641352777307289, 0.14727393964762023, 9.125000000000006E-5, 0.0018786805925212, 1.8786805925212
0.00368, 0.6442785676184, 5.608716314814818, 0.6446576654453753, 0.1464652054910173, 9.300000000000007E-5, 0.0018433409162212, 1.8433409162212
0.00371, 0.642379114656937, 5.587406203703708, 0.6427474706362293, 0.1473207007396693, 9.475000000000007E-5, 0.0018092994885273, 1.8092994885273
0.00374, 0.640567908973522, 5.566916861111111, 0.6409306887043645, 0.14984880301952913, 9.650000000000007E-5, 0.0017764634410145, 1.7764634410145
0.00286, 0.685147115300506, 6.24148522222222, 0.685691308454955, 0.145979420057408, 0.0000549, 0.0031226988743657, 3.1226988743657
0.00341, 0.653910719914252, 5.78399959259259, 0.654316509134814, 0.145657293135452, 0.0000798, 0.0021482293078037, 2.1482293078037
0.00392, 0.639638197763345, 5.47656025, 0.639978043524972, 0.148385866214265, 0.0001047, 0.0016373628381179, 1.6373628381179
0.00432, 0.62102250501095, 5.24702018518518, 0.621304291379989, 0.149539427126415, 0.0001296, 0.0013227698989248, 1.3227698989248
0.00475, 0.615224811773411, 5.06592106481482, 0.615462915360415, 0.143178303111617, 0.0001545, 0.0011096232354862, 1.1096232354862
0.00512, 0.606916308559528, 4.9175207962963, 0.607132466704059, 0.147436054802904, 0.0001794, 0.00095557458439729, 0.95557458439729
0.0055, 0.603628210449893, 4.79203550925926, 0.603833438048365, 0.147197315365335, 0.0002043, 0.00083910218827657, 0.83910218827657
0.00583, 0.597727623464789, 4.68393899074074, 0.597912430386057, 0.148909914777981, 0.0002292, 0.000747945392322918, 0.747945392322918
0.00615, 0.593194760352915, 4.58905911111111, 0.593377364844413, 0.147089639041019, 0.0002541, 0.000674650458567449, 0.674650458567449
0.00645, 0.588660325420389, 4.50489021296296, 0.588840739331467, 0.149976771435268, 0.000279, 0.000614443303600853, 0.614443303600853
0.00671, 0.582224306651179, 4.4292655462963, 0.582383885115558, 0.149899128361015, 0.0003039, 0.000564095544906167, 0.564095544906167
0.00706, 0.584735472466605, 4.36091142592592, 0.584900993460046, 0.145388771004808, 0.0003288, 0.000521376641791625, 0.521376641791625
0.00727, 0.576733835621643, 4.29844902777778, 0.57688511577732, 0.149888745879052, 0.0003537, 0.000484672258047228, 0.484672258047228
0.00759, 0.57843805581611, 4.24121385185185, 0.578571325412462, 0.14840835489586, 0.0003786, 0.000452796197441879, 0.452796197441879
0.00782, 0.57398554755064, 4.18823972222222, 0.5741179646416, 0.149657419898543, 0.0004035, 0.000424853976116699, 0.424853976116699
0.0081, 0.573914320990698, 4.13912488888889, 0.574043415455522, 0.148104368311266, 0.0004284, 0.000400161191930072, 0.400161191930072
0.0083, 0.568845555916002, 4.09331365740741, 0.568952436671369, 0.147166957498917, 0.0004533, 0.000378180374822671, 0.378180374822671
0.00856, 0.568456418519256, 4.05046065740741, 0.568576902023825, 0.149942736713835, 0.0004782, 0.000358489692743673, 0.358489692743673
0.00886, 0.571068610300738, 4.01025896296296, 0.571173699553492, 0.142846880676651, 0.0005031, 0.000340745046553034, 0.340745046553034
0.00898, 0.562569583868848, 3.97228743518519, 0.56268000844189, 0.149398951689421, 0.000528, 0.000324675792499451, 0.324675792499451
0.00924, 0.563385619782034, 3.93651717592593, 0.56348450789122, 0.148970333211147, 0.0005529, 0.000310053507435213, 0.310053507435213
0.00952, 0.565616189731516, 3.90264335185185, 0.565713281359281, 0.147409825480779, 0.0005778, 0.000296692271287774, 0.296692271287774
0.00974, 0.564511179867369, 3.87045637962963, 0.56460615852225, 0.149975556891008, 0.0006027, 0.000284434332885105, 0.284434332885105
0.00991, 0.560875212445167, 3.83984580555556, 0.560955759034289, 0.147668987835992, 0.0006276, 0.000273149677231053, 0.273149677231053
