Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935912962996355
Actual volume fraction: 0.6928553246115318
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.7079142366162838
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0143, -169.0348089399875, -174.55652128829905, 13.5175341103951, -174.55652128829905, 0.0, -0.033865287669962774, 1.5353755113272578, -8.915045645510543E-4, 0.0, 3.505, 0.6160469277692417, 0.0, 3.316685657783562, 0.09021337900299874
0.0144, 45.75375462903505, 45.45799753723838, 13.72169814693456, 45.45799753723838, 0.0, -0.036846369909063724, 1.5383934420514207, -6.67661631641984E-4, 0.0, 3.505, 0.6203549482431525, 0.0, 3.472494616255169, 0.0883712776527268
0.0145, 36.05313318637, 35.41015361330873, 14.271308777599142, 35.41015361330873, 0.0, -0.03168070680569539, 1.5333563842816968, -3.7490114420824216E-4, 0.0, 3.505, 0.6246629687170633, 0.0, 3.68344007273802, 0.08600168433686764
0.0146, -261.4820752258315, -266.56377045135235, 14.666640272460462, -266.56377045135235, 0.0, -0.03512495960089535, 1.5367946963684969, -2.051574024135226E-4, 0.0, 3.505, 0.628970989190974, 0.0, 3.810360558150668, 0.0847511648249605
0.0147, -118.09244622065121, -126.35950455061699, 14.616357459757348, -126.35950455061699, 0.0, -0.04416555624633076, 1.5458504517691678, 3.4608538489392044E-4, 0.0, 3.505, 0.6332790096648848, 0.0, 4.245879457278395, 0.08046982224487405
0.0148, 53.89536951315923, 52.12019117351041, 14.780771363567519, 52.12019117351041, 0.0, -0.04076345856824449, 1.542457998917078, 7.951661234106216E-4, 0.0, 3.505, 0.6375870301387956, 0.0, 4.63118349164081, 0.07722400797741333
0.0149, 37.30039732483828, 38.05352889478501, 15.637455672094541, 38.05352889478501, 0.0, -0.041592241905995704, 1.5434288564538545, 9.924469435550701E-4, 0.0, 3.505, 0.6418950506127064, 0.0, 4.805662293774172, 0.07597952235054727
0.015, 10.33318157916569, 8.505768858319867, 15.465023745198977, 8.505768858319867, 0.0, -0.03898249578418257, 1.5407946608492458, 0.0013308133015028823, 0.0, 3.505, 0.6462030710866171, 0.0, 5.121237865336328, 0.07376562722484624
0.0151, -95.15361693487466, -100.27150767679053, 16.207399867449304, -100.27150767679053, 0.0, -0.0410988688281386, 1.54300290652484, 0.0016172102616416972, 0.0, 3.505, 0.6505110915605278, 0.0, 5.399104581337003, 0.07200166504308854
0.0152, -82.24468548986758, -89.52968567179335, 16.7279454426144, -89.52968567179335, 0.0, -0.04352574633065997, 1.5455268884370437, 0.00214095046642078, 0.0, 3.505, 0.6548191120344385, 0.0, 5.949962575963882, 0.06873878309410623
0.0153, -140.4123002421472, -143.6396271514149, 16.714066132340612, -143.6396271514149, 0.0, -0.045025763299763814, 1.5470188166185848, 0.002565920987890622, 0.0, 3.505, 0.6591271325083493, 0.0, 6.427959045358972, 0.06627834981244508
0.0154, -271.2022022542359, -272.8386651090303, 17.488965206216218, -272.8386651090303, 0.0, -0.05022993982699229, 1.5523332688425773, 0.002917157495695871, 0.0, 3.505, 0.6634351529822601, 0.0, 6.842294097087967, 0.06437992486392195
0.0155, 83.42938497666775, 83.00617370473236, 17.88296499707822, 83.00617370473236, 0.0, -0.057974714619614696, 1.5601480392719393, 0.0033342783768004563, 0.0, 3.505, 0.6677431734561708, 0.0, 7.3671798301339955, 0.06217813494168618
0.0156, -68.85271923708943, -72.45711607633326, 18.431135658418896, -72.45711607633326, 0.0, -0.04624648012154627, 1.5484600697704871, 0.003728448126064997, 0.0, 3.505, 0.6720511939300816, 0.0, 7.891272785520445, 0.06020683051194999
0.0157, -223.32335474953766, -226.1154370683607, 19.154278232904222, -226.1154370683607, 0.0, -0.06126218980318506, 1.563596610363543, 0.004147079857252304, 0.0, 3.505, 0.6763592144039924, 0.0, 8.483261041871677, 0.05819194801726116
0.0158, 0.31023505211484603, -1.5862577671899272, 19.33120768464993, -1.5862577671899272, 0.0, -0.05690938486642242, 1.5592605622217794, 0.004694999340787659, 0.0, 3.505, 0.6806672348779031, 0.0, 9.328774112127572, 0.055609778797251076
0.0159, -202.96328377509474, -202.99394141088473, 20.71285813840374, -202.99394141088473, 0.0, -0.06124737717056573, 1.5638098650186731, 0.005017433051008333, 0.0, 3.505, 0.6849752553518139, 0.0, 9.835877459929133, 0.05427130281431986
