phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.7246231156e-03, 9.2848392441e-01, 2.9172435223e-02, 7.8980433053e+02, 7.4495511450e+02
2.7275376884e-03, 9.2935297046e-01, 2.9727334754e-02, 8.0528490368e+02, 7.5963143046e+02
2.7304522613e-03, 9.3021642053e-01, 3.0293215816e-02, 8.2137464147e+02, 7.7490178159e+02
2.7333668342e-03, 9.3104940364e-01, 3.0870513407e-02, 8.3810573915e+02, 7.9079774421e+02
2.7362814070e-03, 9.3188238675e-01, 3.1459685293e-02, 8.5551150800e+02, 8.0735197989e+02
2.7391959799e-03, 9.3271536986e-01, 3.2061212832e-02, 8.7362638980e+02, 8.2459824601e+02
2.7421105528e-03, 9.3354331231e-01, 3.2675601761e-02, 8.9248597446e+02, 8.4257141484e+02
2.7450251256e-03, 9.3436933451e-01, 3.3303382959e-02, 9.1212701547e+02, 8.6130748633e+02
2.7479396985e-03, 9.3519535671e-01, 3.3945113254e-02, 9.3258744665e+02, 8.8084360452e+02
2.7508542714e-03, 9.3601962096e-01, 3.4601376369e-02, 9.5390639830e+02, 9.0121807237e+02
2.7537688442e-03, 9.3683964545e-01, 3.5272783625e-02, 9.7612421369e+02, 9.2247036735e+02
2.7566834171e-03, 9.3765966995e-01, 3.5959974840e-02, 9.9928246474e+02, 9.4464115567e+02
2.7595979899e-03, 9.3847969444e-01, 3.6663619183e-02, 1.0234239694e+03, 9.6777230947e+02
2.7625125628e-03, 9.3928001365e-01, 3.7384416078e-02, 1.0485928067e+03, 9.9190691939e+02
2.7654271357e-03, 9.4007718002e-01, 3.8123096035e-02, 1.0748343338e+03, 1.0170893116e+03
2.7683417085e-03, 9.4087434639e-01, 3.8880421623e-02, 1.1021952017e+03, 1.0433650620e+03
2.7712562814e-03, 9.4166074413e-01, 3.9657188243e-02, 1.1307233730e+03, 1.0707810129e+03
2.7741708543e-03, 9.4243292730e-01, 4.0454225244e-02, 1.1604681356e+03, 1.0993852855e+03
2.7770854271e-03, 9.4320511047e-01, 4.1272396635e-02, 1.1914801222e+03, 1.1292272982e+03
2.7800000000e-03, 9.4397729364e-01, 4.2112602147e-02, 1.2238113232e+03, 1.1603577782e+03

