phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.9300000000e-03, 7.4187360983e-01, -4.5934464342e-03, 9.9130079712e+01, 1.0569696825e+02
2.9322613065e-03, 7.4244242884e-01, -4.5395977431e-03, 1.0035945602e+02, 1.0684435644e+02
2.9345226131e-03, 7.4301124784e-01, -4.4850958534e-03, 1.0155018198e+02, 1.0795228825e+02
2.9367839196e-03, 7.4358006684e-01, -4.4299613328e-03, 1.0270340816e+02, 1.0902194541e+02
2.9390452261e-03, 7.4414888584e-01, -4.3742141174e-03, 1.0382025044e+02, 1.1005447406e+02
2.9413065327e-03, 7.4471352760e-01, -4.3178735491e-03, 1.0490179060e+02, 1.1105098524e+02
2.9435678392e-03, 7.4527511677e-01, -4.2609584116e-03, 1.0594907659e+02, 1.1201255527e+02
2.9458291457e-03, 7.4583670593e-01, -4.2034869116e-03, 1.0696312353e+02, 1.1294022673e+02
2.9480904523e-03, 7.4639829509e-01, -4.1454767397e-03, 1.0794491393e+02, 1.1383500876e+02
2.9503517588e-03, 7.4696122345e-01, -4.0869450359e-03, 1.0889539826e+02, 1.1469787765e+02
2.9526130653e-03, 7.4753142174e-01, -4.0279084610e-03, 1.0981549561e+02, 1.1552977753e+02
2.9548743719e-03, 7.4810162002e-01, -3.9683831747e-03, 1.1070609427e+02, 1.1633162095e+02
2.9571356784e-03, 7.4867181831e-01, -3.9083848701e-03, 1.1156805190e+02, 1.1710428901e+02
2.9593969849e-03, 7.4924201660e-01, -3.8479287846e-03, 1.1240219687e+02, 1.1784863292e+02
2.9616582915e-03, 7.4981951761e-01, -3.7870297192e-03, 1.1320932777e+02, 1.1856547335e+02
2.9639195980e-03, 7.5039967416e-01, -3.7257020381e-03, 1.1399021478e+02, 1.1925560196e+02
2.9661809045e-03, 7.5097983071e-01, -3.6639597142e-03, 1.1474559995e+02, 1.1991978152e+02
2.9684422111e-03, 7.5155998726e-01, -3.6018163232e-03, 1.1547619759e+02, 1.2055874656e+02
2.9707035176e-03, 7.5213353195e-01, -3.5392850546e-03, 1.1618269505e+02, 1.2117320402e+02
2.9729648241e-03, 7.5269243608e-01, -3.4763787430e-03, 1.1686575311e+02, 1.2176383369e+02
2.9752261307e-03, 7.5325134020e-01, -3.4131098655e-03, 1.1752600654e+02, 1.2233128875e+02
2.9774874372e-03, 7.5381024433e-01, -3.3494905756e-03, 1.1816406483e+02, 1.2287619667e+02
2.9797487437e-03, 7.5436914846e-01, -3.2855326858e-03, 1.1878051248e+02, 1.2339915933e+02
2.9820100503e-03, 7.5494239788e-01, -3.2212477086e-03, 1.1937590975e+02, 1.2390075392e+02
2.9842713568e-03, 7.5551744046e-01, -3.1566468811e-03, 1.1995079305e+02, 1.2438153341e+02
2.9865326633e-03, 7.5609248304e-01, -3.0917411250e-03, 1.2050567555e+02, 1.2484202690e+02
2.9887939698e-03, 7.5666752562e-01, -3.0265410969e-03, 1.2104104774e+02, 1.2528274048e+02
2.9910552764e-03, 7.5723669466e-01, -2.9610572124e-03, 1.2155737799e+02, 1.2570415772e+02
2.9933165829e-03, 7.5779915108e-01, -2.8952996281e-03, 1.2205511315e+02, 1.2610674031e+02
2.9955778894e-03, 7.5836160751e-01, -2.8292782677e-03, 1.2253467886e+02, 1.2649092822e+02
2.9978391960e-03, 7.5892406393e-01, -2.7630028267e-03, 1.2299648035e+02, 1.2685714078e+02
3.0001005025e-03, 7.5948697139e-01, -2.6964827916e-03, 1.2344090288e+02, 1.2720577698e+02
3.0023618090e-03, 7.6005957592e-01, -2.6297274444e-03, 1.2386831224e+02, 1.2753721601e+02
3.0046231156e-03, 7.6063218045e-01, -2.5627458717e-03, 1.2427905551e+02, 1.2785181801e+02
3.0068844221e-03, 7.6120478499e-01, -2.4955469898e-03, 1.2467346141e+02, 1.2814992452e+02
3.0091457286e-03, 7.6177738952e-01, -2.4281395304e-03, 1.2505184071e+02, 1.2843185883e+02
3.0114070352e-03, 7.6235212627e-01, -2.3605320584e-03, 1.2541448716e+02, 1.2869792692e+02
3.0136683417e-03, 7.6292815757e-01, -2.2927330037e-03, 1.2576167778e+02, 1.2894841778e+02
3.0159296482e-03, 7.6350418887e-01, -2.2247506208e-03, 1.2609367342e+02, 1.2918360413e+02
3.0181909548e-03, 7.6408022017e-01, -2.1565930642e-03, 1.2641071927e+02, 1.2940374259e+02
3.0204522613e-03, 7.6465474204e-01, -2.0882683330e-03, 1.2671304578e+02, 1.2960907499e+02
3.0227135678e-03, 7.6522322615e-01, -2.0197843146e-03, 1.2700086851e+02, 1.2979982795e+02
3.0249748744e-03, 7.6579171026e-01, -1.9511487876e-03, 1.2727438940e+02, 1.2997621447e+02
3.0272361809e-03, 7.6636019438e-01, -1.8823694140e-03, 1.2753379675e+02, 1.3013843351e+02
3.0294974874e-03, 7.6692867849e-01, -1.8134537777e-03, 1.2777926620e+02, 1.3028667130e+02
3.0317587940e-03, 7.6749345520e-01, -1.7444093478e-03, 1.2801096106e+02, 1.3042110159e+02
3.0340201005e-03, 7.6805717265e-01, -1.6752435222e-03, 1.2822903266e+02, 1.3054188604e+02
3.0362814070e-03, 7.6862089010e-01, -1.6059636091e-03, 1.2843362139e+02, 1.3064917513e+02
3.0385427136e-03, 7.6918460755e-01, -1.5365768659e-03, 1.2862485685e+02, 1.3074310850e+02
3.0408040201e-03, 7.6974792226e-01, -1.4670904598e-03, 1.2880285854e+02, 1.3082381554e+02
3.0430653266e-03, 7.7031050698e-01, -1.3975115080e-03, 1.2896773638e+02, 1.3089141592e+02
3.0453266332e-03, 7.7087309171e-01, -1.3278470701e-03, 1.2911959131e+02, 1.3094602027e+02
3.0475879397e-03, 7.7143567643e-01, -1.2581041483e-03, 1.2925851566e+02, 1.3098773052e+02
3.0498492462e-03, 7.7199826116e-01, -1.1882896970e-03, 1.2938459385e+02, 1.3101664049e+02
3.0521105528e-03, 7.7256620785e-01, -1.1184106274e-03, 1.2949790314e+02, 1.3103283687e+02
3.0543718593e-03, 7.7313453754e-01, -1.0484738295e-03, 1.2959851373e+02, 1.3103639920e+02
3.0566331658e-03, 7.7370286723e-01, -9.7848611949e-04, 1.2968648946e+02, 1.3102740050e+02
3.0588944724e-03, 7.7427119692e-01, -9.0845432123e-04, 1.2976188865e+02, 1.3100590821e+02
3.0611557789e-03, 7.7483827685e-01, -8.3838519913e-04, 1.2982476429e+02, 1.3097198448e+02
3.0634170854e-03, 7.7540416134e-01, -7.6828550391e-04, 1.2987516470e+02, 1.3092568664e+02
3.0656783920e-03, 7.7597004584e-01, -6.9816195673e-04, 1.2991313415e+02, 1.3086706786e+02
3.0679396985e-03, 7.7653593033e-01, -6.2802125967e-04, 1.2993871336e+02, 1.3079617783e+02
3.0702010050e-03, 7.7710253012e-01, -5.5787009433e-04, 1.2995193982e+02, 1.3071306287e+02
3.0724623116e-03, 7.7767646172e-01, -4.8771510319e-04, 1.2995284894e+02, 1.3061776718e+02
3.0747236181e-03, 7.7825039332e-01, -4.1756294331e-04, 1.2994147373e+02, 1.3051033252e+02
3.0769849246e-03, 7.7882432492e-01, -3.4742023445e-04, 1.2991784633e+02, 1.3039079972e+02
3.0792462312e-03, 7.7939825652e-01, -2.7729358271e-04, 1.2988199773e+02, 1.3025920843e+02
3.0815075377e-03, 7.7996900791e-01, -2.0718957467e-04, 1.2983395853e+02, 1.3011559785e+02
3.0837688442e-03, 7.8053816920e-01, -1.3711478141e-04, 1.2977375996e+02, 1.2996000774e+02
3.0860301508e-03, 7.8110733048e-01, -6.7075757670e-05, 1.2970143379e+02, 1.2979247836e+02
3.0882914573e-03, 7.8167649177e-01, 2.9209450076e-06, 1.2961701329e+02, 1.2961305147e+02
